movieId,title,genres,year,director,actors
126809,Plot of Fear,Crime|Mystery|Thriller,1976,Paolo Cavara,"Corinne Cléry, Michele Placido, Quinto Parmeggiani"
185001,I Feel Pretty,Comedy,2018,Abby Kohn,"Amy Schumer, Michelle Williams, Tom Hopper"
263299,SuicideGirls: Guide to Living,Documentary,2010,Mike Marshall,"Ajilee Suicide, Amina, Blaze Suicide"
141038,Get a Clue,Children|Comedy|Mystery,2002,Maggie Greenwald,"Lindsay Lohan, Bug Hall, Ian Gomez"
169786,Midnight Diner,Drama,2014,Jōji Matsuoka,"Kaoru Kobayashi, Saki Takaoka, Mikako Tabe"
194268,Farming,Drama,2018,Adewale Akinnuoye-Agbaje,"Damson Idris, Kate Beckinsale, John Dagleish"
116919,The Johnstown Flood,Drama,1926,Irving Cummings,"George O’Brien, Florence Gilbert, Janet Gaynor"
85763,Beneath Hill 60,Drama|War,2010,Jeremy Sims,"Brendan Cowell, Harrison Gilbertson, Steve Le Marquand"
202119,Taeter City,Action|Horror|Sci-Fi|Thriller,2012,Giulio De Santi,"Monica Muñoz, Riccardo Valentini, Santiago Ortaez"
711,Flipper,Adventure|Children,1996,Alan Shapiro,"Elijah Wood, Paul Hogan, Jonathan Banks"
174123,How a French Nobleman Got a Wife Through the 'New York Herald' Personal Columns,Action|Comedy|Romance,1904,Edwin S. Porter,
33288,Kes,Drama,1969,Ken Loach,"David Bradley, Freddie Fletcher, Lynne Perrie"
188555,Anjaan,Action|Romance|Thriller,2014,N. Linguswamy,"Suriya, Samantha Ruth Prabhu, Vidyut Jammwal"
27523,My Sassy Girl (Yeopgijeogin geunyeo),Comedy|Romance,2001,Kwak Jae-yong,"Jun Ji-hyun, Cha Tae-hyun, Kim In-mun"
187917,Bagavathi,Action|Romance,2002,A. Venkatesh,"Vijay, Vadivelu, Ashish Vidhyarthi"
195261,Death Bed: The Bed That Eats,Comedy|Horror,1977,George Barry,"Demene E. Hall, William Russ, Julie Ritter"
2064,Roger & Me,Documentary,1989,Michael Moore,"Michael Moore, Rhonda Britton, Fred Ross"
