,userId,movieId
0,109,5617
8,109,60948
11,109,67734
17,245,77307
20,245,128360
25,245,143237
27,374,7438
29,457,4878
33,478,1248
37,478,2753
40,478,5680
44,478,25771
51,651,47610
54,741,2722
55,846,93838
56,848,3489
57,849,1243
61,849,166777
63,909,4878
64,909,5047
71,909,7438
72,909,7981
77,909,128360
82,991,910
84,1069,2600
87,1069,2722
89,1069,7438
93,1069,7845
96,1069,62434
97,1225,4878
105,1294,77307
107,1411,342
113,1411,86922
114,1523,99114
118,1551,1248
119,1551,2600
120,1551,7826
121,1551,7981
122,1551,26083
123,1551,33288
124,1551,40738
125,1551,69856
130,1551,77307
131,1551,96985
132,1551,128360
133,1551,143385
135,1551,197571
136,1551,217831
137,1551,243530
141,1657,7438
142,1688,135759
144,1688,160892
146,1780,3263
152,1806,218537
161,1900,4878
185,2008,4878
194,2008,47610
197,2074,93838
199,2244,7438
200,2244,93838
203,2244,94266
206,2327,4878
217,2327,7845
220,2327,88572
227,2421,64278
229,2482,143385
231,2499,910
232,2499,1248
233,2499,1276
234,2499,3108
235,2499,3836
236,2499,4878
237,2499,5058
238,2499,5617
239,2499,7438
240,2499,7981
241,2499,8949
242,2499,53000
243,2556,71264
247,2557,32657
248,2817,7438
249,2818,47610
252,2818,209893
255,3005,143385
260,3033,3256
265,3033,7579
271,3107,4878
273,3107,85763
275,3107,99114
278,3178,47610
279,3230,99114
280,3231,2600
282,3231,3489
287,3231,4878
323,3231,207830
340,3231,286107
343,3418,4878
354,3430,3256
355,3528,4878
356,3552,204542
357,3606,122918
358,3781,2600
359,3781,99114
363,3810,143385
366,3923,2722
370,3994,910
373,3994,4878
384,3994,7438
391,3994,128360
398,4066,1248
401,4066,4878
412,4070,8372
414,4340,33288
418,4459,152890
419,4484,495
420,4549,5617
424,4624,45517
427,4653,99114
432,4736,4878
442,4771,99114
445,4816,8949
446,4816,62434
449,4816,124909
454,4816,218537
457,4911,4878
458,4911,47610
459,4970,4878
464,4970,7438
467,5029,3263
471,5029,3264
474,5029,91694
477,5029,122918
488,5029,175671
489,5029,191799
494,5029,207830
502,5080,3927
503,5125,1339
505,5125,3108
509,5125,3264
511,5125,111804
516,5188,27604
529,5188,77307
558,5292,7438
559,5318,3983
571,5318,4878
581,5318,8949
588,5371,144976
593,5371,207830
595,5371,218537
598,5371,255337
601,5385,32657
602,5527,4467
605,5527,204542
610,5527,207830
618,5527,282125
620,5695,71264
622,5775,2064
628,5854,4878
637,5871,4878
642,5905,126591
645,5906,1339
646,5951,4467
647,6110,146050
648,6122,47610
654,6122,99114
658,6277,5617
659,6296,7438
661,6324,2064
675,6324,4878
682,6324,5451
686,6324,62434
699,6324,69069
707,6324,93838
712,6324,99114
731,6324,106540
736,6324,122918
741,6324,143369
746,6324,175179
752,6324,175671
759,6324,204542
772,6324,207830
789,6344,5617
790,6388,5617
791,6388,47610
793,6424,1243
794,6424,53000
795,6424,67734
796,6602,128360
798,6602,144976
800,6621,2315
803,6621,99114
818,6621,137563
819,6621,144976
824,6621,204542
834,6621,207830
848,6767,99114
849,6767,193960
850,6777,7438
862,6777,99114
880,6777,128360
909,6777,204542
913,6808,7438
917,6922,74582
919,6982,204542
921,7137,4878
922,7306,7438
930,7319,99114
934,7321,128360
939,7424,3836
940,7424,5617
941,7424,6433
942,7424,7981
944,7424,8920
945,7424,56333
947,7424,58490
948,7424,62434
949,7424,67734
951,7424,68347
952,7424,69394
953,7424,88746
954,7467,128360
958,7579,99114
960,7642,67734
961,7689,1276
967,7721,27604
968,7801,218537
973,7808,5854
976,7808,47610
979,7843,4878
982,8063,50804
983,8114,169218
984,8170,1019
985,8170,1248
987,8170,68874
993,8170,99114
998,8170,118466
1005,8217,139761
1006,8221,8949
1010,8221,144976
1012,8284,4878
1018,8284,144976
1026,8284,204542
1033,8306,8949
1034,8373,2064
1038,8382,3263
1039,8417,7438
1040,8457,4878
1041,8497,99114
1043,8509,3108
1046,8509,4878
1048,8509,7438
1056,8521,963
1060,8521,1248
1067,8521,144976
1081,8521,175179
1087,8521,188877
1092,8648,1276
1094,8648,5680
1096,8666,5612
1099,8666,6880
1100,8666,7438
1101,8669,5785
1103,8854,2336
1104,8854,4903
1105,8854,99114
1106,8902,7438
1118,8902,128360
1131,8905,781
1132,8905,1248
1136,8905,5617
1139,8905,7438
1141,8905,45517
1142,8905,59709
1143,8905,99114
1144,8905,128360
1145,8938,99114
1147,8938,166777
1152,9042,49951
1155,9112,5693
1158,9204,5458
1159,9204,34450
1161,9205,128360
1162,9268,1276
1165,9268,1339
1169,9299,5617
1172,9299,99114
1173,9307,910
1174,9406,253234
1175,9543,93838
1176,9662,128360
1186,9662,204542
1189,9834,77307
1190,9834,99114
1201,9898,2600
1202,9898,4878
1205,9905,3489
1213,9941,5693
1214,10050,99114
1215,10052,67734
1219,10061,4878
1224,10061,7981
1228,10061,99114
1237,10061,134178
1242,10061,135769
1248,10242,4878
1259,10293,128360
1263,10403,3019
1266,10403,3983
1271,10403,200630
1273,10457,218537
1276,10470,910
1277,10470,1248
1278,10470,4878
1279,10470,8949
1281,10763,218537
1286,10818,128360
1288,10874,128360
1289,10946,99114
1302,10967,93838
1305,10980,910
1311,10980,4878
1320,10980,122918
1324,11089,475
1327,11089,1276
1330,11089,4878
1334,11089,5693
1335,11089,5785
1337,11089,8372
1338,11089,8949
1343,11089,53000
1350,11089,77307
1353,11089,99114
1362,11089,128360
1367,11089,213604
1378,11092,99114
1385,11209,7438
1388,11212,2600
1389,11269,93838
1390,11321,4878
1405,11358,2600
1406,11358,4878
1407,11381,1339
1408,11381,47610
1409,11404,1243
1415,11406,175179
1419,11468,128360
1431,11719,56333
1432,11726,67734
1434,11862,5451
1435,11862,255337
1437,12264,47610
1445,12294,1248
1447,12335,5617
1450,12335,5778
1452,12335,6880
1453,12335,77798
1454,12335,122918
1462,12335,176237
1463,12335,204542
1466,12336,5693
1467,12587,4878
1468,12834,5047
1472,12876,99114
1480,13069,218537
1483,13128,53000
1485,13164,2819
1486,13164,3489
1487,13164,26398
1488,13287,128360
1491,13312,99114
1494,13312,143385
1495,13344,7438
1501,13417,8826
1502,13417,47610
1504,13425,5617
1511,13431,67734
1516,13454,4878
1517,13586,4878
1521,13600,3652
1529,13600,47610
1532,13600,62434
1534,13609,4878
1542,13609,99114
1544,13732,4878
1547,13783,152
1550,13783,1248
1553,13783,1339
1554,13783,8949
1556,13783,99114
1557,13783,101088
1559,13783,128360
1560,13783,183985
1561,13788,1248
1565,13788,2600
1567,13850,4878
1574,13982,101088
1575,13982,128360
1576,13987,1243
1577,14011,4878
1580,14050,93838
1582,14050,144976
1585,14066,99114
1586,14163,910
1590,14283,47610
1594,14307,2600
1595,14307,4878
1596,14307,7438
1597,14334,218537
1599,14758,140820
1601,14763,143237
1602,14944,7438
1607,14987,5617
1608,14988,47610
1612,15081,128360
1615,15153,45517
1617,15177,67734
1622,15332,3256
1624,15332,4878
1628,15332,5617
1629,15332,122918
1637,15346,99114
1641,15379,4467
1642,15379,5617
1644,15379,7438
1645,15418,1276
1646,15494,1339
1653,15494,3489
1662,15494,4878
1672,15494,5617
1680,15494,5693
1682,15494,8372
1685,15494,47610
1698,15494,50804
1703,15494,122918
1711,15500,45517
1712,15502,342
1715,15502,8949
1716,15502,99114
1717,15502,218537
1718,15528,4878
1719,15651,910
1724,15651,2819
1725,15651,7394
1727,15662,7438
1744,15662,128360
1768,15662,218537
1774,15875,2600
1775,15875,47610
1776,15969,2315
1781,16044,204542
1784,16084,5617
1789,16087,4878
1792,16087,6854
1793,16087,7438
1797,16087,27523
1799,16087,45517
1800,16087,57946
1801,16087,71709
1802,16087,158294
1803,16087,164528
1805,16235,71264
1809,16235,122918
1815,16459,4878
1816,16564,169022
1817,16642,99114
1823,16688,1248
1824,16688,2315
1825,16688,4878
1827,16907,5617
1828,17019,3256
1829,17035,3264
1840,17035,50445
1847,17035,85106
1852,17035,93838
1855,17035,114392
1859,17035,117162
1861,17035,128360
1870,17035,130044
1873,17035,132575
1876,17035,136626
1879,17035,137616
1882,17035,138016
1885,17035,138532
1889,17035,140820
1892,17035,142212
1902,17035,142797
1904,17035,143237
1908,17035,143385
1911,17035,144976
1914,17035,147835
1916,17035,151627
1919,17035,161173
1922,17035,164939
1926,17035,165669
1932,17035,166777
1935,17035,177233
1938,17035,177319
1942,17035,177567
1945,17035,185167
1951,17035,193960
1955,17035,200132
1960,17035,203070
1963,17035,204542
1970,17035,211952
1980,17035,213604
1996,17035,214941
2000,17035,218537
2007,17035,224655
2010,17035,226516
2014,17035,251404
2018,17174,5047
2021,17221,7981
2025,17293,7981
2027,17389,91266
2028,17426,910
2029,17426,3983
2030,17426,5617
2031,17426,5785
2032,17426,7438
2033,17465,8949
2034,17591,1339
2035,17683,4878
2047,17722,1248
2048,17845,2600
2049,17845,5617
2050,18171,99114
2057,18171,128360
2060,18171,143385
2062,18240,138480
2066,18240,165669
2068,18240,185001
2069,18256,8949
2070,18256,64278
2073,18256,94266
2074,18257,47610
2075,18397,99114
2085,18405,4878
2090,18415,99114
2105,18415,122918
2106,18415,143385
2107,18415,185001
2113,18479,475
2114,18497,4878
2117,18654,1735
2118,18699,2722
2120,18699,7845
2123,18699,47610
2125,18699,92696
2127,18699,160648
2128,18699,202767
2129,18731,8949
2132,18769,67734
2134,18784,4878
2135,18811,4878
2136,18831,32657
2137,18831,33288
2138,18831,64278
2139,18831,75813
2140,18831,77154
2141,18831,77307
2142,18931,47610
2149,18980,3489
2155,18980,4878
2165,18980,99114
2169,19073,93838
2170,19088,3652
2178,19097,342
2179,19133,1248
2180,19133,3256
2181,19133,3664
2184,19133,5785
2185,19133,92696
2186,19138,47610
2190,19138,101088
2195,19314,25771
2202,19314,63676
2203,19387,7981
2204,19387,27523
2206,19387,93838
2207,19387,99530
2208,19387,131270
2210,19404,122918
2211,19448,4878
2217,19465,188877
2219,19465,189195
2221,19465,191799
2223,19682,475
2224,19808,910
2225,19860,2336
2226,19860,2600
2228,19860,5785
2231,19961,7438
2232,20029,7438
2240,20029,99114
2248,20029,128360
2253,20089,90738
2255,20089,99114
2257,20089,122918
2259,20093,910
2260,20093,1248
2261,20093,7438
2262,20142,47610
2263,20203,58490
2264,20367,342
2275,20367,3256
2276,20367,5785
2277,20367,58718
2278,20367,67734
2279,20367,99114
2289,20367,112897
2293,20367,128360
2297,20398,7981
2301,20398,99114
2302,20485,75813
2305,20594,83796
2307,20594,111562
2309,20594,141104
2313,20627,1339
2314,20627,2064
2315,20627,2336
2316,20627,2652
2317,20627,5047
2318,20627,50804
2319,20672,5617
2323,20772,128360
2324,20873,45517
2327,20873,53000
2331,21066,4878
2332,21066,218537
2334,21099,27523
2335,21519,99114
2337,21533,4878
2338,21533,122918
2339,21533,128360
2340,21586,58490
2341,21596,282125
2342,21612,144982
2353,21612,277028
2357,21612,280992
2366,21670,4878
2367,21778,103
2368,21778,6705
2369,21780,99114
2376,21780,128360
2382,21815,71264
2383,21913,1735
2384,21942,2064
2386,21942,3489
2387,21942,4878
2388,21942,8882
2389,21942,50804
2390,21942,53038
2391,21942,72167
2393,21942,77307
2395,22022,1243
2396,22070,34435
2397,22115,495
2398,22115,63676
2399,22115,68874
2400,22121,8949
2401,22334,4878
2405,22339,47610
2406,22339,99114
2412,22382,4878
2416,22535,2600
2417,22546,2652
2418,22546,6880
2422,22546,53000
2423,22729,1248
2424,22729,3264
2425,22886,53000
2428,22965,5693
2429,22965,47610
2430,22965,218537
2440,23050,1339
2443,23050,4878
2448,23053,45
2449,23053,1184
2451,23053,2336
2453,23053,2600
2455,23053,2819
2457,23053,3108
2458,23053,3256
2459,23053,4878
2461,23053,4903
2463,23053,5612
2465,23053,5617
2467,23053,8949
2469,23053,47610
2472,23053,50804
2474,23053,53000
2476,23053,56333
2478,23053,62434
2480,23053,67734
2482,23053,77307
2484,23053,93838
2486,23053,94266
2489,23053,99114
2491,23053,101088
2493,23053,112897
2494,23053,128360
2496,23053,143385
2497,23053,144976
2499,23053,185001
2500,23053,191799
2502,23053,193960
2504,23053,204542
2506,23053,207830
2509,23053,213604
2510,23053,218537
2512,23053,226574
2513,23053,255337
2515,23053,269208
2517,23053,277028
2520,23084,208293
2521,23190,7438
2523,23204,128360
2524,23388,5047
2525,23388,7438
2527,23418,4878
2529,23423,83796
2532,23525,475
2534,23525,1019
2535,23525,1243
2537,23525,1276
2538,23525,1339
2539,23525,2553
2540,23525,3019
2541,23525,3108
2542,23525,3652
2543,23525,4440
2546,23525,4878
2547,23525,5287
2548,23525,5617
2549,23525,6506
2550,23525,6880
2551,23525,7100
2553,23525,7438
2556,23525,7981
2557,23525,50445
2558,23525,53000
2561,23525,77798
2562,23571,4878
2577,23571,5785
2580,23637,277028
2584,23761,1248
2585,23761,2315
2586,23761,4878
2589,23761,7438
2590,23766,47610
2592,23803,2722
2595,23803,7438
2599,23808,7438
2601,23846,45517
2605,23854,2064
2606,23947,2819
2609,23972,4467
2611,23972,218537
2617,23978,143385
2624,24000,77307
2625,24045,7438
2626,24105,3983
2661,24105,169218
2668,24121,143385
2670,24238,4878
2673,24304,4878
2688,24382,207830
2693,24429,99114
2704,24616,4878
2708,24637,5617
2709,24637,286107
2714,24763,910
2716,24763,1248
2717,24763,77307
2720,24763,93838
2723,24763,101088
2726,24763,128360
2731,24832,395
2732,24978,197959
2733,24986,122918
2734,24986,255337
2735,25025,2315
2741,25025,255337
2749,25209,4878
2751,25209,99114
2752,25411,5451
2753,25625,2315
2754,25625,4878
2757,25755,47610
2760,25836,218537
2781,25836,255337
2787,25867,99114
2788,25929,8372
2794,25929,62434
2799,25933,910
2801,25944,53000
2802,25996,5617
2806,26022,1339
2807,26087,99114
2809,26090,99114
2824,26090,201540
2825,26123,5617
2827,26326,2600
2834,26326,6880
2837,26326,7438
2844,26326,25771
2850,26326,47610
2854,26326,77307
2860,26326,77798
2865,26326,99114
2879,26326,101088
2882,26326,112897
2888,26326,122918
2891,26335,910
2892,26335,5617
2893,26335,7438
2894,26335,47610
2897,26335,53000
2900,26335,56333
2901,26335,56945
2902,26335,60948
2903,26335,62434
2904,26335,67734
2906,26335,68536
2907,26335,72167
2909,26386,128360
2911,26474,90413
2914,26525,47610
2922,26525,93838
2927,26527,6705
2929,26558,68874
2930,26623,99114
2935,26660,4878
2940,26701,99114
2944,26755,99114
2945,26865,143385
2951,26922,237
2952,26922,475
2954,26922,781
2955,26922,1339
2956,26922,2336
2957,26922,6113
2958,26922,6705
2959,26922,7438
2963,26946,4878
2964,26971,4878
2969,27064,5817
2973,27129,143385
2977,27129,218537
2979,27283,4878
2990,27283,122918
2992,27297,2315
2993,27297,4878
2996,27297,204542
2997,27442,277028
3005,27503,1248
3006,27503,4878
3007,27503,5693
3008,27555,4878
3010,27802,47610
3020,27991,8949
3022,28083,2336
3023,28129,206204
3029,28133,62434
3037,28232,3256
3039,28232,5785
3040,28232,99114
3042,28284,342
3050,28284,495
3055,28284,1248
3061,28284,1276
3068,28284,3652
3074,28284,4878
3085,28284,4903
3092,28284,5451
3097,28284,5693
3102,28284,6506
3106,28284,6649
3110,28284,7438
3116,28284,7981
3122,28284,8608
3126,28300,2600
3129,28300,7438
3136,28325,62434
3145,28518,93838
3149,28584,140805
3150,28604,475
3169,28604,1248
3170,28604,2315
3171,28604,2336
3172,28604,2819
3188,28604,4467
3189,28604,4878
3193,28604,6206
3211,28604,6441
3214,28604,7438
3216,28604,7981
3217,28604,27217
3223,28604,45517
3229,28604,47904
3237,28604,61215
3238,28604,62434
3249,28604,63676
3261,28604,64278
3262,28604,67734
3263,28604,68536
3265,28604,69394
3273,28604,77154
3277,28604,77307
3279,28604,99114
3296,28604,101971
3308,28604,114392
3313,28604,125966
3316,28604,128320
3318,28604,128360
3329,28604,141846
3330,28604,143385
3341,28604,184043
3344,28680,8795
3345,28709,56333
3346,28778,8949
3347,29068,1276
3348,29078,7438
3352,29078,93838
3354,29078,99114
3355,29078,128360
3356,29162,4878
3358,29180,218537
3363,29397,7438
3366,29397,99114
3369,29473,7438
3371,29473,128360
3374,29560,93838
3379,29605,1276
3380,29623,475
3392,29623,2336
3400,29623,5617
3420,29623,5693
3436,29623,8949
3437,29623,88746
3442,29623,99114
3458,29623,114392
3459,29623,144976
3467,29623,218537
3481,29633,143385
3483,29860,58490
3492,29975,1276
3493,29975,1339
3494,29975,2722
3495,29975,3489
3496,29975,4440
3498,29975,4878
3499,29975,5047
3501,29975,5785
3502,29975,7438
3504,29975,7981
3506,29975,8363
3508,29975,8372
3509,29975,45517
3511,29975,47610
3513,29975,53000
3514,30002,342
3515,30002,711
3516,30002,3108
3517,30002,3256
3518,30002,3264
3519,30002,4467
3520,30061,4878
3529,30061,5617
3539,30109,2600
3540,30123,1339
3543,30123,47610
3546,30123,207830
3548,30227,2600
3556,30227,53000
3562,30227,77307
3568,30357,67734
3575,30385,147835
3576,30433,99114
3589,30438,4878
3629,30438,204542
3634,30484,1248
3639,30546,93838
3640,30600,4878
3644,30610,191799
3649,30638,45
3650,30638,1248
3651,30638,2819
3652,30638,3263
3653,30638,5617
3656,30638,7438
3657,30639,342
3658,30639,32657
3662,30639,130410
3664,30651,7438
3665,30700,2600
3667,30763,122918
3673,31030,3019
3680,31030,4878
3688,31039,67734
3689,31127,4878
3698,31127,7438
3701,31128,99114
3705,31143,47610
3709,31158,67734
3713,31158,94266
3717,31206,3489
3718,31245,1926
3719,31349,4878
3724,31356,2600
3727,31356,7438
3728,31356,77798
3744,31405,910
3748,31549,3489
3749,31549,26398
3750,31571,4467
3753,31604,218537
3754,31670,7438
3755,31711,910
3756,31711,1248
3757,31711,113778
3760,31754,4878
3761,31816,88022
3763,31879,77307
3765,31879,128360
3769,32015,910
3772,32015,2819
3776,32015,185001
3779,32030,62434
3780,32030,67734
3781,32095,122918
3786,32241,6705
3787,32286,1276
3791,32286,2336
3794,32286,6441
3803,32372,1248
3804,32410,1248
3805,32410,2315
3806,32410,4878
3808,32486,2336
3818,32486,7438
3822,32486,174719
3825,32531,62434
3826,32535,1276
3831,32535,4878
3842,32535,7438
3851,32535,25771
3856,32535,99114
3860,32595,2064
3863,32595,2600
3864,32777,59709
3867,32828,58490
3868,32855,168760
3872,32862,143385
3876,32963,99114
3891,32963,128360
3909,33213,218537
3920,33296,99114
